FP1 (channel 1),FP2 (channel 2),time
8.756276279183949,6.6484348693466515,1678219439.870936
10.005993702600753,8.135488854664416,1678219439.870944
11.200955864227355,9.55897942751153,1678219439.870952
12.324708972617259,10.896601638318186,1678219439.87096
13.361507917891482,12.127101610574831,1678219439.963838
14.296525071129231,13.230564789233902,1678219439.979865
15.116048666836198,14.188687107801604,1678219439.985879
15.807667913146613,14.985025095447234,1678219439.985889
16.360442146247628,15.605221242628472,1678219439.992136
16.765051559208636,16.03720129954888,1678219440.00006
17.01392728792722,16.27134059078196,1678219440.000084
17.101358924588475,16.300596885253498,1678219440.007118
17.02357784759844,16.120607856297692,1678219440.007133
16.77881510158372,15.729751693825563,1678219440.015986
16.36733292647651,15.129169981334448,1678219440.016001
15.791429415278875,14.322752515691787,1678219440.022668
15.055416169887943,13.317084318219107,1678219440.02268
14.165569217241265,12.121355652342585,1678219440.030621
13.130053837799858,10.74723641676864,1678219440.030642
11.95882433883412,9.208716814795254,1678219440.037162
10.663500170049796,7.521916701353028,1678219440.037181
9.257220122953411,5.704866471569904,1678219440.04518
7.754476672510345,3.7772627706136137,1678219440.045201
6.1709328050284995,1.760202667621429,1678219440.05223
4.523223925266727,-0.3240997590770819,1678219440.06022
2.828747644588254,-2.4526102372429612,1678219440.060231
1.10544441730438,-4.601780154363471,1678219440.066792
-0.6284278883285533,-6.747856983061401,1678219440.066811
-2.354522326411865,-8.867194778076625,1678219440.074864
-4.0546309360210095,-10.936560281855671,1678219440.074883
-5.710909374939404,-12.933430282721229,1678219440.084361
-7.306095043087987,-14.836276043880671,1678219440.084379
-8.823715734439006,-16.624830859687787,1678219440.090427
-10.248286020525288,-18.28033709305102,1678219440.090443
-11.56548877404598,-19.785769399174285,1678219440.097465
-12.762339483820247,-21.12603123955757,1678219440.097477
-13.827331288160703,-22.28812222928045,1678219440.105452
-14.750558957836034,-23.261274332359612,1678219440.105468
-15.523820386968328,-24.037055416285384,1678219440.112796
-16.14069449495614,-24.609439189286928,1678219440.112825
-16.59659479911405,-24.974841063899003,1678219440.119231
-16.88879828035516,-25.13212000947166,1678219440.127117
-17.016449527096324,-25.082546966010543,1678219440.127143
-16.980540499919925,-24.82974088410251,1678219440.135227
-16.783866605860684,-24.3795739230544,1678219440.135242
-16.430960101269463,-23.74004777470224,1678219440.142201
-15.928002151177322,-22.921143477257594,1678219440.142213
-15.282715156525354,-21.934647436437924,1678219440.149688
-14.504237214632548,-20.79395667521278,1678219440.149706
-13.602980799499225,-19.513866584927015,1678219440.157778
-12.590477934246238,-18.110344646421034,1678219440.157797
-11.479214276061697,-16.600293728113027,1678219440.165813
-10.28245464300998,-15.001308647873769,1678219440.16583
-9.014062581150712,-13.331429706912557,1678219440.172387
-7.688316599467298,-11.608896867746552,1678219440.172412
-6.319725689597587,-9.85190815648704,1678219440.179437
-4.922846698381686,-8.078385724830747,1678219440.187939
-3.5121060354519495,-6.3057528127535525,1678219440.187961
-2.1016280776712724,-4.550724613125573,1678219440.19542
-0.7050724798353378,-2.8291157590675042,1678219440.195461
0.6645175802335371,-1.1556668391292357,1678219440.202015
1.9948544008298725,0.4561080000111284,1678219440.202037
3.2745304068805994,1.9940506726494096,1678219440.210056
4.493127105280153,3.4474646907210067,1678219440.210077
5.641307258513193,4.807195711333331,1678219440.218108
6.710889459573892,6.065686590783158,1678219440.218126
7.694904566039864,7.217006841530741,1678219440.225276
8.587633727143427,8.256856781942059,1678219440.225291
9.384628010728518,9.182547048649626,1678219440.232628
10.082709903168508,9.992954502678826,1678219440.232649
10.679957210933615,10.688455898012492,1678219440.239708
11.175670134074428,11.270840990468018,1678219440.247743
11.57032250626038,11.743207041611928,1678219440.247761
11.865498400337689,12.109836913479752,1678219440.254947
12.063815480166847,12.37606315225022,1678219440.255002
12.168836636663823,12.54812062051572,1678219440.26232
12.184971576800034,12.632990356811538,1678219440.262333
12.117370137525022,12.638237416679104,1678219440.270398
11.971809171293202,12.571845481454496,1678219440.270417
11.75457489565426,12.442051009539824,1678219440.278462
11.472342616176272,12.257179651096788,1678219440.278483
11.132055720192122,12.025487552456237,1678219440.284904
10.740805799271325,11.755010043182493,1678219440.28492
10.305715692078904,11.453420029305905,1678219440.292997
9.833827147906437,11.127898213859154,1678219440.29301
9.33199469649589,10.785017034068145,1678219440.300023
8.806787173974282,10.430639947278758,1678219440.307167
8.264398200194758,10.069837419185717,1678219440.307185
7.710566732186319,9.706820672666115,1678219440.314623
7.150508634590108,9.344893948197337,1678219440.314656
6.588860013892386,8.986425712273634,1678219440.322683
6.029632862043698,8.632838933302075,1678219440.3227
