FP1 (channel 1),FP2 (channel 2),time
5.434964908343298,4.575753969992372,1678219586.719842
4.746306134775465,4.666413369796443,1678219586.71985
4.028878450604728,4.719935878606275,1678219586.719858
3.2904649294464945,4.737920002432122,1678219586.719866
2.539349378674577,4.722683600785617,1678219586.747632
1.78423929133155,4.677263800354689,1678219586.763657
1.034181966300955,4.605405574146191,1678219586.770361
0.2984745432565815,4.511538598285275,1678219586.77038
-0.4134312258461786,4.400742163969241,1678219586.777095
-1.092028578745197,4.278698098537483,1678219586.777111
-1.7278587675469164,4.151631834885957,1678219586.785094
-2.3116165023870745,4.026241959924309,1678219586.785106
-2.834256765565223,3.909618767632364,1678219586.79312
-3.287101911293812,3.8091525375289828,1678219586.793135
-3.661947938581305,3.7324324518954426,1678219586.800209
-3.95116880614283,3.6871372516839473,1678219586.800289
-4.147817648870815,3.680918908437304,1678219586.808137
-4.245723755577946,3.7212807545086783,1678219586.814749
-4.239584177730451,3.8154516632277593,1678219586.814769
-4.125048859013783,3.970258001360459,1678219586.824236
-3.8987982061102113,4.191995185379339,1678219586.824253
-3.558612062306334,4.486300758059653,1678219586.832309
-3.1034290977553964,4.8580309603855945,1678219586.832318
-2.5333956936236626,5.311142803675177,1678219586.838624
-1.849903472123231,5.848583646578045,1678219586.838642
-1.0556147106654596,6.472190249965622,1678219586.845418
-0.15447497604431198,7.182599218982364,1678219586.845435
0.8482875764682213,7.979170645424291,1678219586.85344
1.9461766742623756,8.859926635444035,1678219586.853457
3.1314564734249823,9.82150624817756,1678219586.860061
4.395194343993943,10.85913818162114,1678219586.860109
5.727317909474038,11.966632324879122,1678219586.867086
7.1166861985363,13.136391053209648,1678219586.87504
8.551174603222245,14.35944087708854,1678219586.87505
10.017773169479359,15.625484772247596,1678219586.883129
11.502697574283667,16.922975218224668,1678219586.883145
12.991511970995747,18.239207662686944,1678219586.890167
14.469262713184445,19.56043381229109,1678219586.890192
15.92062179934778,20.871993833028885,1678219586.899144
17.3300387193142,22.158466228973833,1678219586.899158
18.68189923027332,23.40383386330454,1678219586.906242
19.960689449075243,24.591664294670185,1678219586.906253
21.151163520373174,25.705302330552147,1678219586.914224
22.238513010042862,26.72807245227378,1678219586.914244
23.208536082673504,27.643488548473563,1678219586.920545
24.047804453211203,28.435468209597136,1678219586.920606
24.743826058257493,29.08854868925777,1678219586.92743
25.285201374022304,29.58810153262331,1678219586.927448
25.66177131711949,29.920542810176922,1678219586.935364
25.86475470251703,30.073535879474722,1678219586.942535
25.886873300836104,30.036183629372168,1678219586.942552
25.722462635198603,29.79920724133349,1678219586.949866
25.367566785824003,29.355108630794803,1678219586.949875
24.820015627931866,28.698313907221163,1678219586.958059
24.07948311404133,27.82529541275071,1678219586.958083
23.147525423763348,26.73467016360384,1678219586.965908
22.027598040411167,25.427272822401807,1678219586.965927
20.72505107144847,23.906201669073962,1678219586.973178
19.24710240569946,22.176836408314763,1678219586.973194
17.602788590653564,20.24682704711487,1678219586.98204
15.802893613995339,18.126053490709573,1678219586.982087
13.859856080216192,15.826555932868274,1678219586.989978
11.787655581077958,13.36243654993513,1678219586.989987
9.601679362857931,10.749733440321814,1678219586.996242
7.318570688652944,8.006268175025365,1678219587.002341
4.956060575476191,5.151468732982559,1678219587.002357
2.532784848437095,2.2061699806056803,1678219587.010314
0.0680886931179883,-0.8076057891203123,1678219587.010331
-2.4181789022079188,-3.866885422442267,1678219587.020422
-4.905878244820093,-6.947995461566141,1678219587.020437
-7.374796864699058,-10.026823346772504,1678219587.02652
-9.804869456511584,-13.079085738108237,1678219587.026529
-12.176396961715215,-16.08060030535798,1678219587.032888
-14.47026189907951,-19.007557266861376,1678219587.032909
-16.66813707963519,-21.83678694847991,1678219587.040751
-18.752684914701717,-24.546019684090663,1678219587.040774
-20.70774464260372,-27.114134487764495,1678219587.048889
-22.518504959525945,-29.521393093558164,1678219587.048906
-24.17165974041291,-31.74965617884005,1678219587.055117
-25.655544773843936,-33.78257885749717,1678219587.063885
-26.96025370662367,-35.60578284552344,1678219587.063896
-28.077731694978,-37.20700305781575,1678219587.071993
-29.001845584714825,-38.576206785233865,1678219587.072016
-29.72842978700547,-39.705684018249144,1678219587.078931
-30.255307373710817,-40.59010792050463,1678219587.078948
-30.58228628032205,-41.226564904728974,1678219587.085137
-30.711130869399273,-41.614554216940526,1678219587.085154
-30.645509466674348,-41.75595738501597,1678219587.093004
-30.390918829676437,-41.65497832691825,1678219587.093022
-29.954586839035528,-41.31805533493514,1678219587.101096
-29.345355010086276,-40.75374654837662,1678219587.101118
-28.57354270206771,-39.97259089209265,1678219587.107603
-27.6507951496904,-38.98694678635831,1678219587.107619
-26.589917653353734,-37.81081122035234,1678219587.114763
-25.404698436769344,-36.45962202268814,1678219587.122799
-24.10972281184905,-34.95004635519112,1678219587.122817
-22.720181378879452,-33.29975859821937,1678219587.130706
-21.251675034440183,-31.5272108860933,1678219587.130724
-19.720019560210833,-29.65139958935477,1678219587.137859
-18.141052523486735,-27.69163102723466,1678219587.137878
-16.530445136339566,-25.667289630345845,1678219587.146764
-14.903521597040717,-23.597611662512037,1678219587.146779
-13.275088277355826,-21.50146745480152,1678219587.154761
-11.659274925909571,-19.397154907922143,1678219587.154781
-10.069389834779221,-17.302206785381102,1678219587.161858
-8.517790667969082,-15.233214053925467,1678219587.16189
-7.015772380926113,-13.205667234839218,1678219587.168091
-5.573473374488376,-11.233817415040212,1678219587.168111
-4.199800729465831,-9.330558236134493,1678219587.17636
-2.9023750643488992,-7.507329838265658,1678219587.176378
-1.6874952533140346,-5.774045389349519,1678219587.18583
-0.5601229395356992,-4.13904048461211,1678219587.192032
0.47611351556415105,-2.6090453615668885,1678219587.192043
1.4188962887215488,-1.189179546724985,1678219587.198237
2.267177464481493,0.11703176285511233,1678219587.198263
3.0211216717438383,1.3076205732876942,1678219587.205638
3.6820333636633906,2.3821194823365066,1678219587.205655
4.2522703140575056,3.341487084302772,1678219587.213643
4.735145071659628,4.18801710509736,1678219587.213659
5.134816251337293,4.925233161053369,1678219587.221717
5.456171647383046,5.557771180772466,1678219587.221736
5.704705227318779,6.091251639856758,1678219587.229709
5.8863901049761225,6.532143833203211,1678219587.229724
6.00754959908169,6.887624448641551,1678219587.236847
6.074728458829604,7.165432709639146,1678219587.236861
6.094566282074346,7.3737243246577835,1678219587.243143
6.073675066370648,7.520926418095239,1678219587.249851
6.01852272007188,7.615595524593128,1678219587.249867
5.935324222384426,7.666280607257039,1678219587.25787
5.829941960292115,7.681392913781193,1678219587.257886
5.707796589513268,7.669084315660286,1678219587.265877
5.573789569258062,7.637135587907725,1678219587.265893
5.432238309812988,7.592855883465403,1678219587.272517
5.286824651310561,7.542994441390263,1678219587.272531
5.140557164933961,7.493665344604578,1678219587.280584
4.995747537764129,7.450285915171855,1678219587.280606
4.854001072975778,7.417529106328379,1678219587.288524
4.716221111523936,7.399290024376119,1678219587.28854
4.582626963104254,7.398666493384793,1678219587.296547
4.452784726120888,7.41795336461635,1678219587.296561
4.325650181550863,7.4586500735876005,1678219587.303762
4.199622766607074,7.521480763359985,1678219587.311526
4.072609473353316,7.606426125312085,1678219587.311541
3.942097376993829,7.712765960296588,1678219587.318243
3.805233380203554,7.839131335339169,1678219587.318256
3.6589096649997868,7.983565105162656,1678219587.326776
3.499853273343269,8.143589484699692,1678219587.326791
3.324718192595923,8.31627929889639,1678219587.333279
3.1301783024854606,8.49833949964009,1678219587.333299
2.9130195462987474,8.686185526334857,1678219587.340836
2.6702297202488894,8.876025095919108,1678219587.340851
2.399084330584988,9.063940039063652,1678219587.348852
2.097227046948375,9.245966850694513,1678219587.348865
1.7627433813127387,9.418174693367424,1678219587.35552
1.3942263428655606,9.576739679649926,1678219587.35553
0.9908329584077636,9.718014362602688,1678219587.362659
0.5523307030352631,9.83859147958064,1678219587.370639
0.07913305457561572,9.935361121647043,1678219587.370658
-0.42767643513610887,10.00556063656344,1678219587.378517
-0.9663319713055485,10.046816715181347,1678219587.378533
-1.534385475678605,10.05717925669588,1678219587.386587
-2.128718705215238,10.035146755225826,1678219587.386601
-2.7455673658182635,9.979683096216272,1678219587.394491
-3.380556865622123,9.89022579396929,1678219587.394502
-4.028749167273978,9.766685839072627,1678219587.402563
-4.684700022600288,9.609439454648934,1678219587.402589
-5.342525708632249,9.419312181403948,1678219587.40899
-5.995978233569815,9.197555821830226,1678219587.409006
-6.638527847091641,8.9458188722635,1678219587.41571
-7.263451573421465,8.666111156666098,1678219587.415728
