FP1 (channel 1),FP2 (channel 2),time
-20.17030687446076,-24.799488144968507,1677706087.425347
-22.84078201717562,-27.097907976969665,1677706087.425357
-25.410729758431057,-29.308181326884483,1677706087.425365
-27.869306302880375,-31.42214477325747,1677706087.425373
-30.20621273555242,-33.43197250015505,1677706087.514837
-32.41180858934192,-35.33024754412025,1677706087.520828
-34.47722084596228,-37.110031103022266,1677706087.520847
-36.39444666066741,-38.76492888437448,1677706087.528049
-38.156448162973994,-40.2891534994927,1677706087.528068
-39.757237778209095,-41.67758195816323,1677706087.535124
-41.19195263642523,-42.92580738520604,1677706087.535135
-42.45691678391124,-44.030184163944334,1677706087.543206
-43.549690085480194,-44.98786581024299,1677706087.549641
-44.46910289974756,-45.79683499224764,1677706087.549654
-45.21527582113274,-46.4559252327782,1677706087.557815
-45.789624007409955,-46.96483396084885,1677706087.557843
-46.19484584615517,-47.324126713224544,1677706087.565757
-46.434895953095264,-47.53523242345551,1677706087.565775
-46.5149427358283,-47.6004298716513,1677706087.572711
-46.44131099335112,-47.52282550064738,1677706087.572726
-46.22141025113245,-47.30632293061313,1677706087.581108
-45.86364974914042,-46.95558462219093,1677706087.581134
-45.37734120258698,-46.47598624583763,1677706087.587545
-44.77259063884502,-45.87356441035541,1677706087.587554
-44.06018077608185,-45.15495848517221,1677706087.595694
-43.25144554713398,-44.32734731763578,1677706087.595716
-42.35813848399688,-43.39838169765963,1677706087.602691
-41.39229676249676,-42.37611345711303,1677706087.610626
-40.366102762238974,-41.26892211035072,1677706087.610646
-39.29174502329603,-40.085439945555265,1677706087.617303
-38.18128047832476,-38.83447646476465,1677706087.617313
-37.04649980739682,-37.52494304453178,1677706087.625911
-35.898797703770434,-36.165778650325386,1677706087.62597
-34.74904975354008,-34.76587738747503,1677706087.63323
-33.6074975223915,-33.33401861130789,1677706087.633239
-32.48364331073066,-31.87880025087807,1677706087.640321
-31.386155886722065,-30.40857592619228,1677706087.64034
-30.32278833799106,-28.931396359968126,1677706087.648005
-29.300308999842574,-27.454955503590966,1677706087.648019
-28.3244462238922,-25.98654171487536,1677706087.655973
-27.399847549151605,-24.532994244201006,1677706087.655988
-26.530053631046673,-23.100665207158993,1677706087.662977
-25.717487075742685,-21.69538714742019,1677706087.670056
-24.96345612060649,-20.322446224334637,1677706087.670066
-24.268172899634422,-18.986560996782487,1677706087.677671
-23.630785838043145,-17.691866718782137,1677706087.677688
-23.04942553558872,-16.441905013838824,1677706087.685558
-22.52126332594772,-15.239618754261087,1677706087.685585
-22.042581541807408,-14.087351938720706,1677706087.692624
-21.60885437403381,-12.98685433599296,1677706087.69268
-21.21483808998402,-11.939290644687697,1677706087.700258
-20.85466927196009,-10.945253907278515,1677706087.70027
-20.521969652908428,-10.004782911106643,1677706087.708254
-20.209956063375856,-9.117383308395322,1677706087.708266
-19.91155396175267,-8.282052190679279,1677706087.716142
-19.619512998970425,-7.497305859388227,1677706087.716151
-19.326523068792017,-6.761210542552005,1677706087.722249
-19.025329315071474,-6.071415816655009,1677706087.729945
-18.708844607053383,-5.425190501538977,1677706087.72996
-18.370258051875915,-4.819460803991262,1677706087.737864
-18.003138188678246,-4.250850491420944,1677706087.737878
-17.60152959965289,-3.7157228801088094,1677706087.746027
-17.160041778433005,-3.2102244223633694,1677706087.746043
-16.67392921364658,-2.7303296731371534,1677706087.752569
-16.13916177349048,-2.271887409050165,1677706087.752585
-15.552484613897521,-1.8306676613124535,1677706087.760504
-14.911466976368951,-1.4024094089051533,1677706087.760525
-14.214539389890206,-0.9828686599218296,1677706087.768479
-13.461018942618288,-0.5678666277151315,1677706087.768495
-12.65112244133782,-0.15333768512060766,1677706087.775743
-11.78596742819898,0.2646232446390854,1677706087.775762
-10.867561173217279,0.6897142267954963,1677706087.782208
-9.898777905766535,1.1253811744144668,1677706087.78222
-8.883324687271292,1.5747744417333085,1677706087.790112
-7.825696459058914,2.0407075846484175,1677706087.798112
-6.731120922546696,2.525618737368255,1677706087.798124
-5.605494022431778,3.031535065047268,1677706087.805308
-4.455306906277978,3.5600407569953525,1677706087.805334
-3.287565324954413,4.112249022910241,1677706087.812841
-2.1097025170241066,4.688778544725262,1677706087.812855
-0.9294866858027624,5.28973481846825,1677706087.820766
0.24507577004630246,5.914696793523394,1677706087.820825
1.405840073153205,6.56270918059663,1677706087.828779
2.544624707674936,7.232280754425772,1677706087.828795
3.653313649028422,7.921388922976003,1677706087.835379
4.723957952430323,8.627490771858987,1677706087.835395
5.748875486549615,9.347540721561867,1677706087.843539
6.720747628800153,10.078014856531286,1677706087.843565
7.632711781746887,10.814941900187529,1677706087.850411
8.478448625161322,11.553940719692031,1677706087.85849
9.252263084723818,12.290264150075012,1677706087.858508
9.949158075419914,13.01884883061538,1677706087.864972
10.564900164413062,13.734370648744344,1677706087.864982
11.09607639361499,14.4313052899076,1677706087.873148
11.540141605263152,15.103993297527193,1677706087.873161
11.895455723435992,15.746708957248837,1677706087.880974
12.161310559421015,16.353732235841502,1677706087.880983
12.337945827984676,16.919422929200145,1677706087.888024
12.426554183629754,17.43829610758861,1677706087.888103
12.429275209594996,17.905097891144433,1677706087.895693
12.349178416370648,18.31488054620988,1677706087.895708
12.190235429587556,18.66307586454255,1677706087.903674
11.957281668011879,18.945565773981087,1677706087.903692
11.65596792978791,19.158749131553108,1677706087.91084
11.292702417795896,19.29960366891364,1677706087.917192
10.874583841851425,19.365742095717778,1677706087.917203
10.409326335343849,19.3554614190915,1677706087.925359
9.905177015735193,19.26778460649782,1677706087.925375
9.370827101136108,19.10249380442036,1677706087.933273
8.81531756804678,18.86015442551449,1677706087.933298
8.247940397499926,18.542129531017974,1677706087.94035
7.678136507577092,18.150584061791793,1677706087.940365
7.115391509009603,17.6884786086332,1677706087.948003
6.569130446863944,17.159552558478858,1677706087.948013
6.04861270481764,16.568296605596576,1677706087.9561
5.562828249058311,15.919914773471206,1677706087.956114
5.120396376323747,15.220276251308208,1677706087.96391
4.7294681051218905,14.475857506296288,1677706087.963918
4.397633310943213,13.69367528632753,1677706087.969999
4.131833655659908,12.881211275108535,1677706087.977514
3.938282298789705,12.04632929989534,1677706087.977533
3.8223913045137006,11.197186118933145,1677706087.985621
3.7887075740334666,10.342136928711275,1677706087.985636
3.840858038912063,9.489636828182508,1677706087.993729
3.9815047484614534,8.648139556213758,1677706087.993743
4.212310374117586,7.825994878086692,1677706088.000172
4.533914537283842,7.03134603552871,1677706088.00018
4.945921245609846,6.272028691559114,1677706088.008316
5.446897597465845,5.555472795795364,1677706088.008344
6.034383786893284,4.888608767593632,1677706088.016362
6.704914313025625,4.277779343720452,1677706088.016435
7.454050170374679,3.72865836480506,1677706088.023251
8.276421670973775,3.2461776816473993,1677706088.023266
9.165781427661042,2.834463249986837,1677706088.029919
10.115066911250722,2.496781352368184,1677706088.029934
11.116471884410753,2.2354957404028672,1677706088.037916
12.161525913111857,2.052036332433402,1677706088.045902
13.24118106382668,1.9468799330313198,1677706088.045915
14.34590481242704,1.9195432647460504,1677706088.052826
15.465778120026108,1.968588422062313,1677706088.052852
16.5905975727791,2.0916406756777315,1677706088.060568
17.709980437680088,2.2854183750548067,1677706088.060586
18.81347145529943,2.545774521757674,1677706088.068625
19.890650173644968,2.867749418271577,1677706088.068642
20.93123762516295,3.2456336395737084,1677706088.075639
21.925201161388994,3.6730404302119255,1677706088.075657
22.862856286781597,4.1429865003210375,1677706088.083162
23.734964374485557,4.6479800818264225,1677706088.083171
24.53282520164157,5.180115012672449,1677706088.091164
25.24836330964661,5.731169543522906,1677706088.091201
25.874207274553278,6.292708508882739,1677706088.098074
26.40376106347357,6.856187473462335,1677706088.105226
26.831266753160993,7.413057454932374,1677706088.105245
27.151857995479315,7.954868835699259,1677706088.114318
27.361603729700953,8.473373108301695,1677706088.114331
27.4575417618924,8.960621150477737,1677706088.120773
27.437701955349166,9.409056795556689,1677706088.120784
27.301118901409968,9.811604549993822,1677706088.128898
27.047834065271676,10.161750410757174,1677706088.128906
26.678887524925024,10.453614848874665,1677706088.135483
26.19629954136917,10.682017149595351,1677706088.135505
25.603042313251866,10.842530432055845,1677706088.143429
24.903002377537113,10.931526809771084,1677706088.143446
24.10093421836905,10.946212295386784,1677706088.151408
23.20240573777374,10.884651196681217,1677706088.151424
22.21373632318214,10.745779893611077,1677706088.158626
21.141928317109983,10.529410026202775,1677706088.165138
19.994592753027376,10.236221258386529,1677706088.165149
18.779870268021185,9.86774391171938,1677706088.173062
17.506348137023526,9.426331883799559,1677706088.173072
16.18297439507064,8.915126377699012,1677706088.180989
14.818970023377657,8.338011069807735,1677706088.181006
13.423740172254501,7.69955943318402,1677706088.188269
12.006785379500322,7.004975011145115,1677706088.188288
10.577613717502294,6.260025500928555,1677706088.195738
9.145654766566091,5.470971559521053,1677706088.195755
7.7201762668690845,4.6444912830918,1677706088.203671
6.310204247794831,3.7876013379560742,1677706088.203684
4.924447372291631,2.907575734865396,1677706088.211715
3.571226166361355,2.011863240044317,1677706088.211752
2.258407730919438,1.1080044062658891,1677706088.21776
