FP1 (channel 1),FP2 (channel 2),time
-1.2848098172800257,-2.3658506296088735,1677706378.927977
-2.056000707678137,-1.6331457396077302,1677706378.927985
-2.822432049995506,-0.8711125881800627,1677706378.927992
-3.580187184530398,-0.08556505963287757,1677706378.928
-4.3252996386622655,0.7175285740379548,1677706378.928008
-5.053788842207589,1.5320989033287238,1677706379.005825
-5.761696381816052,2.3520285221885784,1677706379.0129
-6.445122346470785,3.1712045221457794,1677706379.020498
-7.100261317888738,3.9835698323083477,1677706379.020516
-7.723437568198547,4.7831729335789746,1677706379.028511
-8.311139042368572,5.56421551548911,1677706379.02853
-8.860049724016752,6.321097687645499,1677706379.035067
-9.36708000990691,7.04846040396597,1677706379.035081
-9.829394749993083,7.741224805733705,1677706379.043084
-10.244438645623227,8.394628238114167,1677706379.043099
-10.609958737723407,9.00425674328784,1677706379.050202
-10.924023758698196,9.56607388094025,1677706379.050258
-11.185040165643288,10.076445772772495,1677706379.057715
-11.391764717525383,10.532162311286262,1677706379.057739
-11.543313504522695,10.930454513785484,1677706379.065717
-11.639167383057185,11.26900803985166,1677706379.065737
-11.679173814556764,11.545972924128552,1677706379.072637
-11.66354514909004,11.759969605842498,1677706379.079868
-11.592853436207877,11.910091361947345,1677706379.079882
-11.468021884161141,11.995903272089274,1677706379.087449
-11.290313124764532,12.017437860813695,1677706379.087464
-11.061314474229025,11.975187575761348,1677706379.095421
-10.782920410038987,11.87009427029107,1677706379.095432
-10.457312510210029,11.703535865369158,1677706379.103326
-10.086937123887992,11.477310369092256,1677706379.103348
-9.67448106114194,11.193617433326237,1677706379.109989
-9.222845604908422,10.855037626146734,1677706379.110007
-8.735119159338286,10.464509596576152,1677706379.118029
-8.214548856287841,10.025305305047727,1677706379.118044
-7.664511445414102,9.541003489596179,1677706379.126027
-7.0884837933314495,9.015461534453149,1677706379.126042
-6.490013313635206,8.452785904946142,1677706379.133179
-5.872688642385513,7.857301310736097,1677706379.141173
-5.240110862979945,7.233518758785767,1677706379.141194
-4.5958655703530065,6.586102658254314,1677706379.14774
-3.9434960472752203,5.9198371419025335,1677706379.147763
-3.286477805360056,5.239591772616492,1677706379.155726
-2.6281947204296543,4.5502868092707125,1677706379.155742
-1.9719169663800864,3.8568582132190126,1677706379.162688
-1.3207809239014483,3.1642225849964962,1677706379.162701
-0.6777712106655015,2.477242230033006,1677706379.170317
-0.04570494825425448,1.8006905619359137,1677706379.170332
0.5727816514303998,1.1392180617564687,1677706379.178405
1.1752443308195177,0.49731902111834786,1677706379.178416
1.7594394464893532,-0.12070069436411487,1677706379.186283
2.323330261541277,-0.7107546178581987,1677706379.186306
2.8650909204915775,-1.2690051416606596,1677706379.192379
3.3831081878211404,-1.7918912139320742,1677706379.19997
3.875981060665781,-2.276154021064409,1677706379.199985
4.342518393041971,-2.7188604088127417,1677706379.208017
4.781734692985018,-3.1174238030261914,1677706379.208031
5.1928442745524395,-3.4696224026278015,1677706379.214921
5.575253963393559,-3.77361443361536,1677706379.214929
5.928554567155494,-4.027950273377458,1677706379.222539
6.252511330115563,-4.231581279521528,1677706379.222554
6.547053594924415,-4.383865186554833,1677706379.230646
6.8122638931394315,-4.484567966886617,1677706379.230667
7.048366680360619,-4.5338620893509125,1677706379.2386
7.255716921401686,-4.532321148290585,1677706379.238617
7.434788716301849,-4.480910878591925,1677706379.245203
7.58616413948535,-4.380976616217175,1677706379.24524
7.710522442486855,-4.234227308969957,1677706379.252327
7.808629745958157,-4.042716227602138,1677706379.252339
7.8813293198128225,-3.8088185720431804,1677706379.260328
7.929532522074001,-3.53520621059646,1677706379.26819
7.954210438036178,-3.22481983049557,1677706379.268215
7.956386232529159,-2.8808388153682545,1677706379.274997
7.937128200179845,-2.5066491980875574,1677706379.275011
7.897543472381902,-2.105810065444137,1677706379.282957
7.838772315939547,-1.6820188133902618,1677706379.282972
7.761982937718233,-1.2390756677388097,1677706379.290864
7.66836669269522,-0.7808478947336779,1677706379.290878
7.5591335800358985,-0.3112341285681205,1677706379.29784
7.4355079035878475,0.16587076140711318,1677706379.297852
7.29872396971362,0.6466098523394563,1677706379.305485
7.150021696767205,1.1271970050141231,1677706379.305511
6.990642016708643,1.6039479875938676,1677706379.313439
6.821821960157068,2.073309547516475,1677706379.313462
6.64478933128031,2.5318861288789023,1677706379.32066
6.46075689786027,2.976463973008167,1677706379.327556
6.270916044096804,3.4040323840635276,1677706379.32757
6.076429858563376,3.8118019885301933,1677706379.335168
5.878425656474271,4.197219866396759,1677706379.33518
5.677986963280708,4.557981481672574,1677706379.343094
5.47614501476541,4.892039389707703,1677706379.343102
5.2738698564277415,5.197608747556084,1677706379.351154
5.072061151235245,5.47316970044239,1677706379.351178
4.871538828990604,5.717466761388918,1677706379.357749
4.6730337319126,5.929505341447227,1677706379.357764
4.477178428919719,6.108545624077418,1677706379.365693
4.284498384993805,6.254094008457633,1677706379.36571
4.095403681454175,6.365892372444907,1677706379.373774
3.9101814876731846,6.443905426236626,1677706379.373788
3.728989484520421,6.488306442327059,1677706379.380748
3.551850434570402,6.499461656079885,1677706379.38739
3.3786480839114272,6.477913634243059,1677706379.387405
3.2091245654384117,6.424363906239707,1677706379.395531
3.042879454104174,6.339655145416973,1677706379.395556
2.8793706011524884,6.224753175064945,1677706379.403328
2.71791684736697,6.080729057458075,1677706379.403345
2.5577026854266935,5.908741504020016,1677706379.410039
2.3977849092096766,5.710019821619245,1677706379.41005
2.2371012540222375,5.4858475846496155,1677706379.418043
2.074480996977358,5.23754719563377,1677706379.418057
