FP1 (channel 1),FP2 (channel 2),time
-7.9031739859104295,-13.924977339848267,1677705949.092746
-8.314342695701646,-14.93806271062101,1677705949.092753
-8.695835429505848,-15.910259174497817,1677705949.09276
-9.047558194318281,-16.835902114274354,1677705949.092767
-9.369426553126726,-17.709370465888316,1677705949.163784
-9.661362548934555,-18.525148598722655,1677705949.176141
-9.923293314272506,-19.277889459087515,1677705949.183694
-10.155151333952874,-19.96247806596164,1677705949.183707
-10.356876290914148,-20.574094424167704,1677705949.190287
-10.528418389801075,-21.108274912163218,1677705949.1903
-10.669743021045312,-21.560971209711756,1677705949.198376
-10.780836600183818,-21.928605854716096,1677705949.198385
-10.861713393407777,-22.20812355800872,1677705949.20563
-10.912423121205753,-22.397037459189875,1677705949.205659
-10.933059117681815,-22.493469574703276,1677705949.213614
-10.923766813822882,-22.496184770033096,1677705949.21363
-10.884752308691514,-22.404617679774333,1677705949.22168
-10.816290793168136,-22.218892100774234,1677705949.221695
-10.71873459630706,-21.93983249282267,1677705949.228222
-10.592520634366505,-21.568967336628624,1677705949.228236
-10.438177056808708,-21.108524218124945,1677705949.235334
-10.256328901657415,-20.561416629516835,1677705949.243303
-10.047702594099855,-19.931222598943858,1677705949.243312
-9.81312914663094,-19.222155380196373,1677705949.251301
-9.553545945818875,-18.439026549706195,1677705949.25132
-9.269997039353667,-17.587201968193217,1677705949.257972
-8.963631866834074,-16.672551167183745,1677705949.257989
-8.635702408157842,-15.70139081454887,1677705949.26591
-8.287558753813144,-14.680422996830396,1677705949.265929
-7.9206431312506105,-13.6166691281958,1677705949.27388
-7.536482450296989,-12.517400355357506,1677705949.273894
-7.1366794577431225,-11.390065373880006,1677705949.281003
-6.7229026163367385,-10.242216603374896,1677705949.28104
-6.296874846025972,-9.081435686767133,1677705949.288618
-5.8603612850849975,-7.915259281952416,1677705949.288636
-5.415156245427993,-6.751106102828298,1677705949.295519
-4.963069549770777,-5.596206141166852,1677705949.303484
-4.505912448191666,-4.457532961616281,1677705949.303499
-4.045483318006935,-3.3417399099912446,1677705949.31071
-3.5835533537146285,-2.2551010108487137,1677705949.310724
-3.1218524531431977,-1.2034572552383254,1677705949.31812
-2.6620555020011207,-0.1921688947147851,1677705949.318134
-2.2057692519488947,0.7739257354025444,1677705949.326199
-1.7545199773435953,1.6905444404293926,1677705949.326209
-1.3097420832171782,2.553988120355444,1677705949.334151
-0.8727678221534977,3.3611602440786346,1677705949.334176
-0.4448182608587032,4.109578744748048,1677705949.340814
-0.026995618721506985,4.797380347525085,1677705949.340836
0.37972291911592443,5.4233174497773975,1677705949.348873
0.7744898323632692,5.986747779038611,1677705949.348932
1.1565902793562381,6.4876171543674985,1677705949.355763
1.5254434550820135,6.926435770480595,1677705949.363923
1.8806022761216592,7.304248509783042,1677705949.363936
2.2217513964909066,7.622599863891137,1677705949.370377
2.548703579178827,7.883494112290783,1677705949.370386
2.8613944683074295,8.089351460449043,1677705949.378436
3.159875826099963,8.242960882222702,1677705949.378455
3.44430731711872,8.347430441223988,1677705949.386436
3.7149469394101198,8.406135882559516,1677705949.386455
3.9721402181960603,8.42266828992451,1677705949.393096
4.216308292516231,8.400781593504357,1677705949.393115
4.447935038711313,8.344340691826286,1677705949.401042
4.667553386805876,8.2572709161508,1677705949.401058
4.875730996670564,8.143509519941313,1677705949.409018
5.073055470282791,8.00695981934688,1677705949.409037
5.260119284425685,7.851448544606375,1677705949.416073
5.437504634719403,7.680686888128387,1677705949.416082
5.605768386909423,7.49823565415849,1677705949.422868
5.765427334772706,7.30747482897173,1677705949.430838
5.916943965761858,7.111577801071386,1677705949.430856
6.060712935495399,6.913490369643009,1677705949.438703
6.197048450315242,6.7159145882416915,1677705949.438719
6.32617275326067,6.521297401110441,1677705949.445894
6.4482059028398835,6.331823943329559,1677705949.445906
6.563157025806775,6.149415294798706,1677705949.453207
6.670917214672363,5.975730403367051,1677705949.453219
6.771254227812233,5.812171825628118,1677705949.461347
6.863809134710251,5.659894876195578,1677705949.461356
6.948095031069209,5.519819728695333,1677705949.469322
7.023497928220096,5.392645975057459,1677705949.469338
7.089279898512888,5.27886912455054,1677705949.476053
7.144584533258375,5.178798510711242,1677705949.476122
7.188444742448245,5.092576072976028,1677705949.483072
7.21979289609856,5.0201954902613695,1677705949.490974
7.2374732758848,4.96152116555703,1677705949.490987
7.240256773065818,4.91630659314749,1677705949.499074
7.226857734885689,4.884211682485278,1677705949.499086
7.195952827105249,4.86481866392369,1677705949.505674
7.146201745506407,4.857646260204809,1677705949.505694
7.076269574631742,4.862161872361423,1677705949.513512
6.984850558204893,4.877791597968023,1677705949.513531
6.870693013186462,4.903927971810066,1677705949.521565
6.732625088836217,4.939935392315381,1677705949.521582
6.5695810440641855,4.985153269768229,1677705949.528787
6.380627691346977,5.038897002682447,1677705949.5288
6.164990634134238,5.100456955078204,1677705949.537602
5.9220799075217245,5.169095668212507,1677705949.537615
5.651514619534558,5.244043594111164,1677705949.54374
5.353146183112717,5.324493683755751,1677705949.551366
5.027079727229285,5.409595198901165,1677705949.551383
4.673693279842073,5.498447142363296,1677705949.557891
4.29365432584622,5.590091716585605,1677705949.55791
3.8879333600402606,5.683508223985764,1677705949.565924
3.4578140784299873,5.777607814880224,1677705949.565941
3.0048998809649037,5.871229469835139,1677705949.573848
2.53111639491982,5.963137573511634,1677705949.573861
2.0387097703818724,6.052021397135289,1677705949.580999
1.5302405473547285,6.136496757540847,1677705949.581008
1.0085729474115193,6.215110063464823,1677705949.588478
0.4768595010718982,6.286344895721338,1677705949.5885
-0.06147901550380831,6.348631198610375,1677705949.596509
-0.602778295071126,6.400357087018883,1677705949.596525
-1.1431597572626797,6.439883198929229,1677705949.603549
-1.678564172053728,6.465559448251831,1677705949.610721
-2.2047894001455863,6.475743959873932,1677705949.610766
-2.7175319314346993,6.4688238993668135,1677705949.618201
-3.2124318340479903,6.443237845658517,1677705949.618213
-3.6851206604448516,6.397499297794272,1677705949.626171
-4.131271794971447,6.330220858167603,1677705949.626181
-4.546652670152504,6.240138595630689,1677705949.634244
-4.927178228036855,6.126136063794808,1677705949.634261
-5.268964959139599,5.987267433488231,1677705949.64065
-5.568384815935053,5.822779194369915,1677705949.640665
-5.822118271343146,5.632129889449685,1677705949.648813
-6.02720577599402,5.415007367800248,1677705949.648829
-6.181096861892165,5.171343074834338,1677705949.656779
-6.28169614492186,4.901322945642581,1677705949.656791
-6.327405494763045,4.6053945242434375,1677705949.664027
-6.317161668366553,4.284269999116318,1677705949.664036
-6.250468742129142,3.9389249217546096,1677705949.670324
-6.127424728080079,3.5705924586461637,1677705949.678548
-5.94874182031665,3.1807531163323244,1677705949.678575
-5.715759788989639,2.7711199721253235,1677705949.686485
-5.4304521195388045,2.3436195376753157,1677705949.686502
-5.095424583633313,1.9003684767990918,1677705949.694897
-4.713906024238979,1.4436464907145505,1677705949.69491
-4.2897312391200355,0.9758657709934521,1677705949.701039
-3.8273159534650505,0.49953750114620765,1677705949.701049
-3.3316239816725552,0.017235959901511968,1677705949.709067
-2.808126789024872,-0.46843915878072073,1677705949.709076
-2.2627557743423004,-0.9549015436377212,1677705949.71613
-1.7018477030357648,-1.4396174793218517,1677705949.716149
-1.1320838245523837,-1.9201447488873586,1677705949.723641
-0.5604233073492447,-2.3941704908083454,1677705949.723657
0.005968283394909922,-2.859547282102179,1677705949.730834
0.5597946566587457,-3.314326740518684,1677705949.738641
1.0937077329620712,-3.7567899749292866,1677705949.738686
1.6003889040957926,-4.185474263397905,1677705949.745694
2.072631621442371,-4.599195402009104,1677705949.745703
2.5034242829579494,-4.997065243147916,1677705949.753348
2.88603236688592,-5.378504028083156,1677705949.753372
3.214078752974178,-5.743247213683148,1677705949.761251
3.481621179681607,-6.091346594976928,1677705949.761267
3.6832258086593552,-6.423165632001429,1677705949.769643
3.814035905522669,-6.739368998776665,1677705949.769659
3.86983469820295,-7.040906482099011,1677705949.776035
3.8471015403772832,-7.32899146590028,1677705949.776046
3.7430605867902464,-7.605074340988262,1677705949.784039
3.555721278686281,-7.870811277948728,1677705949.784052
3.2839100398514867,-8.128028890864929,1677705949.790871
2.9272926955463756,-8.37868539948419,1677705949.798961
2.4863872463748646,-8.624828965926516,1677705949.798977
1.962566755234516,-8.868553937621567,1677705949.805718
1.3580522361829117,-9.11195576978034,1677705949.805763
0.6758955675126116,-9.357085427547954,1677705949.813624
-0.08004741432173003,-9.605904079539608,1677705949.813639
-0.90515334993644,-9.860238890541645,1677705949.821508
-1.7940769009891075,-10.121740701886829,1677705949.821519
-2.740804856814127,-10.391844353821204,1677705949.828701
-3.7387181386177093,-10.671732355802336,1677705949.82871
-4.780660925463466,-10.962302549121159,1677705949.836374
-5.859016025646448,-11.26414033279843,1677705949.836393
-6.965785527990243,-11.57749593988076,1677705949.845712
-8.092675691508061,-11.902267158760262,1677705949.845727
-9.231184969983564,-12.237987794840745,1677705949.851675
-10.372694021409975,-12.583822063772558,1677705949.858485
