FP1 (channel 1),FP2 (channel 2),time
-1.878255127436039,-6.860966096504448,1677704280.180923
-2.1942743563317397,-6.663841056096157,1677704280.18093
-2.503247434383932,-6.457536631945604,1677704280.180938
-2.805884702655797,-6.246887629670008,1677704280.180945
-3.102870494947194,-6.036498943787336,1677704280.180953
-3.3948545475872964,-5.830689015585848,1677704280.243585
-3.682444904437566,-5.63343950756933,1677704280.266249
-3.9662023749589514,-5.448351891515262,1677704280.266265
-4.246636565455598,-5.278611514479861,1677704280.272737
-4.524203465758078,-5.126959565081631,1677704280.272758
-4.79930453642618,-4.995673213798622,1677704280.28073
-5.072287205800844,-4.886554048658681,1677704280.280745
-5.343446652661126,-4.800924774495982,1677704280.287829
-5.613028719553959,-4.7396339928178275,1677704280.287848
-5.881233774722016,-4.70306873315952,1677704280.295213
-6.148221317557156,-4.691174268391694,1677704280.295227
-6.414115104179972,-4.703480618421155,1677704280.303234
-6.679008556533056,-4.739135031526294,1677704280.303247
-6.942970210627648,-4.796939632372566,1677704280.310283
-7.206048957551142,-4.875393342448024,1677704280.310295
-7.468278834670999,-4.97273711379601,1677704280.316908
-7.729683134192369,-5.087001471690462,1677704280.316935
-7.99027761176143,-5.216055337098665,1677704280.324972
-8.250072598957647,-5.357655095801566,1677704280.333063
-8.509073849974396,-5.5094928978728825,1677704280.333079
-8.767281984123798,-5.6692432084202835,1677704280.340151
-9.024690421484634,-5.834606687221043,1677704280.340164
-9.281281748404975,-6.003350549904423,1677704280.347454
-9.53702249194234,-6.173344655037357,1677704280.347465
-9.791856326857557,-6.342592667914107,1677704280.3569
-10.045695784585915,-6.509257770789441,1677704280.356919
-10.298412579744399,-6.671682518228414,1677704280.363533
-10.549826715209857,-6.8284025724692645,1677704280.363606
-10.799694570609553,-6.978154194355895,1677704280.370111
-11.047696220189968,-7.119875507549948,1677704280.370127
-11.29342226347734,-7.252701694409258,1677704280.378291
-11.536360484960557,-7.375954418184475,1677704280.378306
-11.775882686322763,-7.489125895202051,1677704280.38534
-12.011232055716837,-7.591858159791443,1677704280.393262
-12.241511452522811,-7.683918171415466,1677704280.393271
-12.465672992369404,-7.7651695055820715,1677704280.399832
-12.682509315517786,-7.8355414457755455,1677704280.39985
-12.890646911722074,-7.894996351321326,1677704280.4079
-13.0885418562954,-7.943496214652658,1677704280.407922
-13.274478285396183,-7.980969340147066,1677704280.415827
-13.446569903758839,-8.00727807523303,1677704280.415843
-13.602764775656356,-8.022188502941196,1677704280.422906
-13.740853600400133,-8.025342964013449,1677704280.422924
-13.858481617917692,-8.016236217009888,1677704280.430511
-13.953164228811094,-7.994195967865368,1677704280.430567
-14.022306347826918,-7.958368407683057,1677704280.438415
-14.063225441009953,-7.9077092911551485,1677704280.438426
-14.073178126199766,-7.840980970071433,1677704280.445442
-14.049390145253794,-7.7567556693254955,1677704280.452083
-13.989089445767792,-7.653425159223052,1677704280.452101
-13.889542041445237,-7.529216840407273,1677704280.460229
-13.748090254951652,-7.3822161190592155,1677704280.460247
-13.562192886340773,-7.210394812918069,1677704280.468277
-13.329466795148315,-7.01164519574663,1677704280.468289
-13.047729336112731,-6.783819161683866,1677704280.475127
-12.715041048183096,-6.524771873864685,1677704280.475146
-12.329747964862843,-6.232409155936792,1677704280.482758
-11.890522891718792,-5.904737792622439,1677704280.482771
